Name:		CBMix1
Optimal value:	-1
#Vehicles:	-1
Capacity:	100000
Depot Node:	1
#Nodes:		91
#Edges:		90
#Arcs:		39
#Required N:	0
#Required E:	28
#Required A:	27

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	4	5	1435	1	1
E2	5	6	1593	1	1
E3	6	7	1752	1	1
E4	7	8	1879	1	1
E5	8	9	1959	1	1
E6	9	10	2068	1	1
E7	44	56	79	1	1
E8	56	28	79	1	1
E9	28	22	79	1	1
E10	22	15	79	1	1
E11	15	26	80	1	1
E12	26	18	80	1	1
E13	18	2	78	1	1
E14	2	54	76	1	1
E15	54	11	82	1	1
E16	11	58	79	1	1
E17	58	67	60	1	1
E18	67	68	24	1	1
E19	91	60	67	1	1
E20	10	21	81	1	1
E21	21	1	79	1	1
E22	1	52	76	1	1
E23	52	12	112	1	1
E24	12	57	273	1	1
E25	57	89	430	1	1
E26	89	90	588	1	1
E27	90	91	747	1	1
E28	91	45	906	1	1

EDGE	FROM N.	TO N.	T. COST
NrE1	24	25	34
NrE2	29	31	941
NrE3	32	25	29
NrE4	33	34	133
NrE5	34	35	30
NrE6	35	36	34
NrE7	36	37	60
NrE8	37	38	100
NrE9	38	13	159
NrE10	13	39	256
NrE11	39	23	341
NrE12	23	27	460
NrE13	27	40	632
NrE14	40	31	804
NrE15	4	43	297
NrE16	43	44	504
NrE17	52	53	504
NrE18	53	54	711
NrE19	54	32	1012
NrE20	44	55	84
NrE21	55	31	67
NrE22	60	61	142
NrE23	34	63	42
NrE24	63	16	87
NrE25	16	3	206
NrE26	3	24	360
NrE27	67	69	37
NrE28	69	50	89
NrE29	50	60	101
NrE30	60	45	103
NrE31	45	49	154
NrE32	68	51	75
NrE33	51	61	79
NrE34	61	46	79
NrE35	46	47	79
NrE36	14	70	50
NrE37	70	71	26
NrE38	71	65	56
NrE39	72	73	8
NrE40	74	75	35
NrE41	62	73	55
NrE42	42	63	49
NrE43	8	77	22
NrE44	78	79	17
NrE45	79	77	15
NrE46	77	80	11
NrE47	81	33	20
NrE48	24	82	4
NrE49	82	32	32
NrE50	32	83	105
NrE51	83	59	102
NrE52	59	67	77
NrE53	37	84	18
NrE54	85	81	46
NrE55	81	86	57
NrE56	86	84	81
NrE57	84	87	6
NrE58	87	88	9
NrE59	88	85	6
NrE60	36	86	18
NrE61	45	48	1064
NrE62	31	30	27

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	625	1	1
A2	2	3	1067	1	1
A3	11	12	208	1	1
A4	13	14	156	1	1
A5	14	15	128	1	1
A6	15	9	236	1	1
A7	16	17	150	1	1
A8	17	18	423	1	1
A9	18	19	643	1	1
A10	19	20	735	1	1
A11	20	21	863	1	1
A12	7	22	1182	1	1
A13	22	23	1640	1	1
A14	10	26	1316	1	1
A15	27	28	218	1	1
A16	28	6	457	1	1
A17	57	58	625	1	1
A18	58	59	881	1	1
A19	5	62	518	1	1
A20	62	56	725	1	1
A21	56	40	1017	1	1
A22	35	64	133	1	1
A23	64	65	61	1	1
A24	65	66	76	1	1
A25	66	26	47	1	1
A26	69	89	189	1	1
A27	90	50	547	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	29	30	53
NrA2	41	42	159
NrA3	42	34	301
NrA4	45	46	207
NrA5	47	48	1107
NrA6	48	49	1377
NrA7	50	51	79
NrA8	72	76	38
NrA9	76	75	13
NrA10	75	74	72
NrA11	74	72	112
NrA12	3	41	150
